,brand,accessories,bag style,skin type,hardware - metal type,hardware - num zips,hardware - strap type,strap length,num compartments,num components,major color,num colors,volume,num functionality,inner material,price
0,Gucci,Chain,Handle Bag,Crocodile,Gold,1,Leather,42.0,2,5,Red,2,478.125,1,Calf,34000
1,Gucci,Chain,Handle Bag,Crocodile,Gold,1,Leather,50.0,2,5,Black,3,478.125,1,Calf,31000
2,Gucci,Logo,Shoulder Bag,Crocodile,Gold,1,Leather,45.0,3,4,Red,1,213.75,1,Calf,15000
3,Gucci,Chain,Shoulder Bag,Snake,Gold,1,Metal,30.0,2,5,Blue,1,250.25,2,Seude,6700
4,Gucci,Chain,Shoulder Bag,Snake,Gold,1,Metal,30.0,2,5,Beige,2,269.5,2,Seude,5900
5,Gucci,Logo,Handle Bag,Snake,Gold,2,Leather,45.0,4,4,Grey,2,380.625,2,Calf,5500
6,Gucci,Logo,Handle Bag,Python,Gold,2,Leather,45.0,4,4,Black,1,380.625,2,Calf,4900
7,Gucci,Other,Handle Bag,Leather,Gold,0,Metal,50.0,2,4,White,1,480.0,2,Others,4900
8,Gucci,Chain,Handle Bag,Leather,Gold,1,Leather,40.0,2,4,White,3,1138.5,2,Microfiber,4800
9,Gucci,Chain,Handle Bag,Leather,Gold,1,Leather,40.0,2,4,Black,3,478.125,2,Seude,4700
10,Gucci,Buckle,Handle Bag,Leather,Gold,1,Leather,45.0,2,5,Brown,3,526.5,2,Microfiber,4600
11,Gucci,Chain,Shoulder Bag,Python,Silver,1,Metal,40.0,3,5,Multicolor,3,384.0,2,Seude,4500
12,Gucci,Crystals,Shoulder Bag,Canvas,Silver,1,Metal,35.0,3,4,Beige,2,384.0,2,Seude,4400
13,Gucci,Crystals,Shoulder Bag,"Canvas, Embroidery",Silver,1,Metal,35.0,3,5,Beige,2,384.0,2,Seude,4400
14,Gucci,Chain,Shoulder Bag,"Leather, Embroidery",Gold,1,Metal,40.0,3,3,Black,3,269.5,2,Seude,4200
15,Gucci,Crystals,Shoulder Bag,Leather,Silver,1,Leather,60.0,1,3,Black,1,343.0,2,Others,3980
16,Gucci,Chain,Shoulder Bag,"Canvas, Embroidery",None,1,Metal,35.0,1,5,Beige,1,384.0,2,Seude,3980
17,Gucci,Crystals,Shoulder Bag,Others,Silver,1,Metal,40.0,1,5,Black,1,269.5,2,Seude,3980
18,Gucci,Buckle,Shoulder Bag,Python,Gold,1,Metal,45.0,2,6,Blue,2,360.0,2,Others,3800
19,Gucci,Chain,Shoulder Bag,"Canvas, Embroidery",None,1,Metal,40.0,3,5,Beige,3,269.5,2,Seude,3800
20,Gucci,Crystals,Shoulder Bag,Canvas,Silver,1,Metal,40.0,3,4,Beige,2,269.5,2,Seude,3790
