,num components,volume,price
0,5,478.125,34000
1,5,478.125,31000
2,4,213.75,15000
3,5,250.25,6700
4,5,269.5,5900
5,4,380.625,5500
6,4,380.625,4900
7,4,480.0,4900
8,4,1138.5,4800
9,4,478.125,4700
10,5,526.5,4600
11,5,384.0,4500
12,4,384.0,4400
13,5,384.0,4400
14,3,269.5,4200
15,3,343.0,3980
16,5,384.0,3980
17,5,269.5,3980
18,6,360.0,3800
19,5,269.5,3800
20,4,269.5,3790
21,4,697.5,3700
22,4,595.0,3700
23,4,478.125,3700
24,4,269.5,3690
25,4,384.0,3500
26,3,165.75,3500
27,1,69.0,19300
28,4,1078.0,5450
29,8,714.0,10600
30,3,232.05,10200
31,3,118.5,9200
32,4,700.0,8650
33,3,111.132,7950
34,4,585.0,7800
35,4,585.0,7800
36,4,111.132,7400
37,4,58.5,6700
38,4,574.34,6350
39,0,177.75000000000003,6050
40,4,468.0,5350
41,2,159.192,5350
42,5,401.375,5250
43,3,60.75,5150
44,6,120.669,5100
45,7,524.628,4825
46,7,131.32000000000002,4675
47,6,122.4,4600
48,1,177.75000000000003,4525
49,2,970.428,3675
50,1,67.26,3535
51,6,165.9045941,17000
52,7,107.89150377600001,13300
53,5,117.43292928,11500
54,7,92.906572696,8950
55,6,68.62486804800001,6850
56,5,68.62486804800001,5290
57,5,117.43292928,4990
58,7,117.43292928,4990
59,7,68.62486804800001,4550
60,3,36.95467493280001,3650
61,4,68.62486804800001,4390
62,4,123.30457574399999,4190
63,5,132.11204544,3990
64,4,132.11204544,3790
65,6,855.3031682560002,3690
66,5,132.11204544,3590
67,10,346.86,4400
68,6,339.2,4200
69,3,283.05,3600
70,7,200.291,4400
71,7,720.0,4850
72,5,1953.846,4000
73,8,697.97,4000
74,6,195.3,4000
75,3,825.3,4100
76,5,200.291,4200
77,6,124.95,3650
78,10,517.548,3550
79,6,266.526,3950
80,13,602.07,4550
81,5,102.42399999999999,4200
82,6,73.54899999999999,5200
83,6,81.686,5400
84,6,59.61600000000001,5750
85,7,80.0,5500
86,5,495.88,3650
87,6,806.0500000000002,3650
88,3,894.8520000000002,4150
89,10,1326.6,3900
90,10,1120.0,4250
91,7,1067.22,3500
92,5,225.58900000000003,3800
93,6,1386.0,4000
94,5,585.0,4500
95,5,585.0,4550
96,5,585.0,37200
97,4,252.0,4150
98,5,252.0,7500
99,4,144.0,7000
100,3,162.0,3850
101,3,162.0,24800
102,2,1859.0,3950
103,3,1859.0,4150
104,3,1859.0,4700
105,2,189.0,7000
106,2,189.0,4400
107,5,1008.0,3600
108,3,144.0,3500
109,4,108.376,4200
110,3,191.66000000000003,4500
111,3,667.8749999999999,4100
112,3,348.582,4500
113,5,93.987,4500
114,12,116.70200000000001,4800
115,3,190.89,7000
116,10,555.399,5200
117,10,110.67,3900
118,3,77.14199999999998,5100
119,4,123.87600000000002,4300
120,3,190.89,8200
121,6,142.662,5800
122,5,169.074,6600
123,5,103.194,6100
124,5,98.982,6000
125,5,93.775,9200
126,5,169.074,10300
127,5,201.79800000000003,10000
128,5,85.8,5100
129,5,85.8,8800
130,4,185.22000000000003,5100
131,3,134.78400000000002,6500
132,3,98.982,6800
133,5,98.982,5400
134,9,169.012,7900
135,6,169.012,5700
136,4,240.236,6200
137,5,142.662,7100
138,5,142.662,3900
139,3,169.074,8200
140,5,169.074,10300
141,5,169.074,11000
