,hardware - num zips,hardware - metal type,price,skin type_Alligator,skin type_Calf,skin type_Canvas,skin type_Crocodile,skin type_Crystal,skin type_Embroidery,skin type_Epi,skin type_Lamb,skin type_Leather,skin type_Lizard,skin type_Others,skin type_Python,skin type_Snake
61,0.4900065493002787,4,4390,0,0,0,0,1,1,0,0,0,0,1,0,0
82,-0.967118189408445,5,5200,0,0,0,0,0,0,0,1,0,0,0,0,0
93,0.4900065493002787,5,4000,0,0,0,0,0,0,0,0,0,0,1,0,0
56,0.4900065493002787,6,5290,0,0,0,0,1,1,0,0,0,0,0,0,0
1,0.4900065493002787,5,31000,0,0,0,1,0,0,0,0,0,0,0,0,0
96,-0.967118189408445,5,37200,0,0,0,1,0,0,0,0,0,0,0,0,0
64,0.4900065493002787,4,3790,0,0,0,0,0,0,0,0,0,0,0,1,0
66,1.9471312880090026,5,3590,0,0,0,0,0,0,0,0,1,0,0,0,0
32,-0.967118189408445,6,8650,0,1,0,0,0,0,0,0,0,0,0,0,0
36,0.4900065493002787,5,7400,0,1,0,0,0,0,0,0,0,0,0,0,0
49,-0.967118189408445,6,3675,0,1,0,0,0,0,0,0,0,0,0,0,0
21,3.4042560267177264,5,3700,0,0,0,0,0,0,0,0,0,0,0,1,0
9,0.4900065493002787,5,4700,0,0,0,0,0,0,0,0,1,0,0,0,0
120,-0.967118189408445,2,8200,0,0,0,0,0,1,0,0,0,0,1,0,0
109,-0.967118189408445,5,4200,0,1,0,0,0,0,0,0,0,0,0,0,0
44,0.4900065493002787,6,5100,0,0,0,0,0,0,0,1,0,0,0,0,0
101,-0.967118189408445,5,24800,0,0,0,1,0,0,0,0,0,0,0,0,0
50,-0.967118189408445,0,3535,0,1,0,0,0,0,0,0,0,0,0,0,0
13,0.4900065493002787,2,4400,0,0,1,0,0,1,0,0,0,0,0,0,0
53,-0.967118189408445,4,11500,0,0,0,0,1,0,0,0,0,0,1,0,0
68,1.9471312880090026,2,4200,0,1,0,0,0,0,0,0,0,0,0,0,0
57,0.4900065493002787,4,4990,0,0,0,0,0,1,0,0,0,0,1,0,0
47,-0.967118189408445,6,4600,0,1,0,0,0,0,0,0,0,0,0,0,0
122,-0.967118189408445,5,6600,0,0,0,0,0,0,0,0,0,0,1,0,0
76,-0.967118189408445,2,4200,0,0,0,0,0,0,1,0,0,0,0,0,0
77,-0.967118189408445,2,3650,0,0,0,0,0,0,1,0,0,0,0,0,0
104,-0.967118189408445,1,4700,0,1,0,0,0,0,0,0,0,0,0,0,0
4,0.4900065493002787,5,5900,0,0,0,0,0,0,0,0,0,0,0,0,1
135,-0.967118189408445,5,5700,0,1,0,0,0,0,0,0,0,0,0,0,0
114,0.4900065493002787,5,4800,0,1,0,0,0,0,0,0,0,0,0,0,0
118,-0.967118189408445,2,5100,0,0,0,0,0,1,0,0,0,0,1,0,0
0,0.4900065493002787,5,34000,0,0,0,1,0,0,0,0,0,0,0,0,0
106,-0.967118189408445,3,4400,0,1,0,0,0,0,0,0,0,0,0,0,0
131,-0.967118189408445,5,6500,0,1,0,0,0,0,0,0,0,0,0,1,0
28,-0.967118189408445,6,5450,0,1,0,0,0,0,0,0,0,0,0,0,0
89,-0.967118189408445,0,3900,0,1,0,0,0,0,0,0,0,0,0,0,0
141,0.4900065493002787,5,11000,0,0,0,0,0,0,0,1,0,0,0,1,0
98,-0.967118189408445,3,7500,0,0,0,0,0,0,0,0,0,1,0,0,0
136,-0.967118189408445,5,6200,0,1,0,0,0,0,0,0,0,0,0,0,0
117,0.4900065493002787,5,3900,0,0,0,0,0,0,0,1,0,0,0,0,0
6,1.9471312880090026,5,4900,0,0,0,0,0,0,0,0,0,0,0,1,0
137,0.4900065493002787,5,7100,0,1,0,0,0,0,0,0,0,0,0,0,0
85,-0.967118189408445,5,5500,0,1,0,0,0,0,0,0,0,0,0,0,0
26,-0.967118189408445,5,3500,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0.4900065493002787,5,15000,0,0,0,1,0,0,0,0,0,0,0,0,0
80,0.4900065493002787,5,4550,0,1,0,0,0,0,0,0,0,0,0,0,0
75,-0.967118189408445,2,4100,0,0,0,0,0,0,1,0,0,0,0,0,0
35,1.9471312880090026,6,7800,0,1,0,0,0,0,0,0,0,0,0,0,0
7,-0.967118189408445,5,4900,0,0,0,0,0,0,0,0,1,0,0,0,0
29,-0.967118189408445,3,10600,0,1,0,0,0,0,0,0,0,0,0,0,0
100,-0.967118189408445,5,3850,0,1,0,0,0,0,0,0,0,0,0,0,0
81,-0.967118189408445,5,4200,0,1,0,0,0,0,0,0,0,0,0,0,0
14,0.4900065493002787,5,4200,0,0,0,0,0,1,0,0,1,0,0,0,0
51,0.4900065493002787,5,17000,1,0,0,0,0,0,0,0,0,0,0,0,0
78,0.4900065493002787,2,3550,0,0,0,0,0,0,1,0,0,0,0,0,0
45,-0.967118189408445,6,4825,0,1,0,0,0,0,0,0,0,0,0,0,0
63,0.4900065493002787,4,3990,0,0,0,0,0,0,0,0,0,0,0,1,0
74,-0.967118189408445,2,4000,0,1,0,0,0,0,0,0,0,0,0,0,0
130,-0.967118189408445,5,5100,0,0,0,0,0,0,0,1,0,0,0,1,0
25,0.4900065493002787,6,3500,0,0,0,0,0,0,0,0,1,0,0,0,0
113,0.4900065493002787,5,4500,0,1,0,0,0,0,0,0,0,0,0,0,0
42,-0.967118189408445,6,5250,0,1,0,0,0,0,0,0,0,0,0,0,0
31,0.4900065493002787,6,9200,0,1,0,0,0,0,0,0,0,0,0,0,0
108,-0.967118189408445,5,3500,0,0,0,0,0,0,0,0,0,0,0,0,1
90,0.4900065493002787,2,4250,0,1,0,0,0,0,0,0,0,0,0,0,0
125,0.4900065493002787,5,9200,0,0,0,0,0,0,0,0,0,1,0,0,0
59,0.4900065493002787,4,4550,0,0,0,0,1,1,0,0,0,0,0,0,0
129,-0.967118189408445,5,8800,0,0,0,0,0,0,0,1,0,1,0,0,0
73,0.4900065493002787,0,4000,0,0,1,0,0,0,0,0,0,0,0,0,0
69,-0.967118189408445,2,3600,0,0,0,0,0,0,0,1,0,0,0,0,0
112,0.4900065493002787,2,4500,0,1,0,0,0,0,0,0,0,0,0,0,0
119,0.4900065493002787,5,4300,0,1,0,0,0,0,0,0,0,0,0,0,0
124,-0.967118189408445,5,6000,0,1,0,0,0,0,0,0,0,0,0,0,0
86,1.9471312880090026,2,3650,0,1,0,0,0,0,0,0,0,0,0,0,0
127,-0.967118189408445,5,10000,0,0,0,0,0,1,0,0,0,0,0,0,0
71,0.4900065493002787,2,4850,0,1,0,0,0,0,0,0,0,0,0,0,0
33,-0.967118189408445,6,7950,0,1,0,0,0,0,0,0,0,0,0,0,0
83,-0.967118189408445,2,5400,0,1,0,0,0,0,0,0,0,0,0,0,0
55,0.4900065493002787,4,6850,0,0,0,0,1,0,0,0,0,0,1,0,0
79,0.4900065493002787,5,3950,0,0,0,0,0,0,0,0,0,0,0,1,0
107,1.9471312880090026,1,3600,0,1,0,0,0,0,0,0,0,0,0,0,0
139,0.4900065493002787,4,8200,0,0,0,0,0,0,0,1,0,0,0,0,0
34,1.9471312880090026,6,7800,0,1,0,0,0,0,0,0,0,0,0,0,0
46,-0.967118189408445,0,4675,0,1,0,0,0,0,0,0,0,0,0,0,0
8,0.4900065493002787,5,4800,0,0,0,0,0,0,0,0,1,0,0,0,0
40,-0.967118189408445,6,5350,0,1,0,0,0,0,0,0,0,0,0,0,0
111,0.4900065493002787,2,4100,0,1,0,0,0,0,0,0,0,0,0,0,0
91,1.9471312880090026,5,3500,0,1,0,0,0,0,0,0,0,0,0,0,0
60,0.4900065493002787,5,3650,0,0,0,0,0,1,0,0,0,0,1,0,0
48,0.4900065493002787,6,4525,0,1,0,0,0,0,0,0,0,0,0,0,0
